permit_type_code,permit_id,full_permit_number,permit_details_url,merged_permit_ids,address,city,issue_date,project_type,valuation,contractor,plan_doc_name,key_scope_terms,priority,reason
F227,2600537,F227-2600537,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F227-2600537,F227-2600537,22605 N 32ND ST,PHOENIX,2/10/2026 3:56:19 PM,Commercial,0.00,SUNSOLAR SOLUTIONS INC,SPAD-1900412,,Trash,no_hvac_signal
FPPD,260223,FPPD-260223,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260223,FPPD-260223,2221 W GRANADA RD,PHOENIX,2/10/2026 3:51:28 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
FPPD,260222,FPPD-260222,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260222,FPPD-260222,4630 N 23RD AVE,PHOENIX,2/10/2026 3:42:21 PM,Commercial,0.00,HAWK BUILDERS LLC,,,Trash,no_hvac_signal
RPV,26002172,RPV-26002172,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26002172,RPV-26002172,2918 W MALDONADO RD,PHOENIX,2/10/2026 3:41:42 PM,Commercial,31481.90,EARTHLING SOLAR LLC,SPAD-0219179,,Trash,negative=solar(?: pv)?
F193,2600536,F193-2600536,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F193-2600536,F193-2600536,2918 W MALDONADO RD,PHOENIX,2/10/2026 3:41:42 PM,Commercial,0.00,EARTHLING SOLAR LLC,SPAD-0219179,,Trash,negative=solar(?: pv)?
LPCO,2600768,LPCO-2600768,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPCO-2600768,LPCO-2600768,1209 GRAND AVE,PHOENIX,2/10/2026 3:25:56 PM,Commercial,25307.00,TO BE BID,SPAD-0407257,,Trash,no_hvac_signal
CSW,26002171,CSW-26002171,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CSW-26002171,CSW-26002171,,PHOENIX,2/10/2026 3:22:50 PM,Commercial,0.00,EARTHWORKS ENVIRONMENTAL LLC,CPSW-2401315,,Trash,no_hvac_signal
BLSC,26002170,BLSC-26002170,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLSC-26002170,BLSC-26002170,3633 E THUNDERBIRD RD,PHOENIX,2/10/2026 3:14:54 PM,Commercial,1232581.00,CHASSE BUILDING TEAM INC,LPSC-2600410,,Trash,no_hvac_signal
BLSC,26002170,BLSC-26002170,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLSC-26002170,BLSC-26002170,3633 E THUNDERBIRD RD,PHOENIX,2/10/2026 3:14:54 PM,Commercial,1232581.00,CHASSE BUILDING TEAM INC,LPSC-2600410,,Trash,no_hvac_signal
CGD,26002166,CGD-26002166,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CGD-26002166,CGD-26002166,2900 E RANGE MULE DR,PHOENIX,2/10/2026 3:14:47 PM,Commercial,0.00,"RUMMEL CONSTRUCTION , INC.",CPGD-2401652,,Trash,no_hvac_signal
CDF,26002167,CDF-26002167,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CDF-26002167,CDF-26002167,2900 E RANGE MULE DR,PHOENIX,2/10/2026 3:14:47 PM,Commercial,0.00,"RUMMEL CONSTRUCTION , INC.",CPGD-2401652,,Trash,no_hvac_signal
CGD,26002168,CGD-26002168,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CGD-26002168,CGD-26002168,,PHOENIX,2/10/2026 3:14:47 PM,Commercial,0.00,"RUMMEL CONSTRUCTION , INC.",CPHG-2402240,,Trash,no_hvac_signal
CSW,26002169,CSW-26002169,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CSW-26002169,CSW-26002169,,PHOENIX,2/10/2026 3:14:47 PM,Commercial,0.00,EARTHWORKS ENVIRONMENTAL LLC,CPSW-2401651,,Trash,no_hvac_signal
F800,2600535,F800-2600535,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600535,F800-2600535,4422 E SPUR DR,PHOENIX,2/10/2026 3:14:34 PM,Commercial,0.00,CAPITAL ENERGY LLC,SPAD-0504716,,Trash,no_hvac_signal
BLSC,26002165,BLSC-26002165,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLSC-26002165,BLSC-26002165,3633 E THUNDERBIRD RD,PHOENIX,2/10/2026 3:13:37 PM,Commercial,3966326.00,CHASSE BUILDING TEAM INC,LPSC-2600410,,Trash,no_hvac_signal
BLSC,26002165,BLSC-26002165,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLSC-26002165,BLSC-26002165,3633 E THUNDERBIRD RD,PHOENIX,2/10/2026 3:13:37 PM,Commercial,3966326.00,CHASSE BUILDING TEAM INC,LPSC-2600410,,Trash,no_hvac_signal
OS,26002164,OS-26002164,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OS-26002164,OS-26002164,1501 E ORANGEWOOD AVE,PHOENIX,2/10/2026 3:12:38 PM,Commercial,1000.00,A S A P DOOR REPAIR AND SERVICE INC,SPAD-0715725,,Trash,no_hvac_signal
